"id" "pid" "Sex" "Race" "Age" "Time" "SES" "PreK" "District_Poverty" "Math" "Reading" "Science" "DCCS" "Numbers_Reversed" "Numbers_Reversed_.W.ability." "time" "time2"
10006608 10006608 "Female" "White" 68.42 "Fall kindergarten" 0.1626 "center" 10 30.3893 53.7825 . 17 99 448 0 0
10006675 10006675 "Female" "White" 63.58 "Fall kindergarten" -0.197 "center" 24 39.8153 57.1555 . 15 105 448 0 0
10006679 10006679 "Female" "White" . "Fall kindergarten" 0.9313 "center" 3 . . . . . . 0 0
10006834 10006834 "Male" "White" 69.24 "Fall kindergarten" -0.33 "none" 23 51.7044 62.9322 . 17 110 470 0 0
10006899 10006899 "Male" "White" 70.92 "Fall kindergarten" 0.5141 "center" 16 41.4009 55.3547 . 14 95 448 0 0
10006902 10006902 "Female" "White" 62.37 "Fall kindergarten" -0.156 "non-relative" . 30.2914 52.7496 . 14 101 435 0 0
10006927 10006927 "Female" "White" 61.97 "Fall kindergarten" -0.303 "none" 3 56.9298 95.0018 . 15 125 483 0 0
10006985 10006985 "Male" "White" 64.57 "Fall kindergarten" 0.4637 "center" 8 63.9628 61.0967 . 15 119 476 0 0
10006994 10006994 "Male" "White" 69.14 "Fall kindergarten" -0.318 "center" 6 32.2479 52.3993 . 16 98 448 0 0
10007069 10007069 "Male" "Black" 60.36 "Fall kindergarten" -0.398 "center" . 35.9842 53.1362 . 15 110 448 0 0
10007124 10007124 "Male" "Black" 62.63 "Fall kindergarten" -0.426 "center" . 38.7916 53.0139 . 15 99 435 0 0
10007163 10007163 "Female" "Hispanic" 63.39 "Fall kindergarten" -0.866 "center" 45 45.8486 69.4679 . 15 121 476 0 0
10007243 10007243 "Male" "White" 66.51 "Fall kindergarten" 1.246 "non-relative" . 42.5504 52.3926 . 15 102 448 0 0
10007421 10007421 "Female" "White" 64.21 "Fall kindergarten" -0.068 "center" 9 28.9289 45.0082 . 15 80 403 0 0
10007453 10007453 "Male" "White" 82.32 "Fall kindergarten" 0.9152 "center" 12 38.6658 53.2473 . 17 85 448 0 0
10007549 10007549 "Male" "White" 63.65 "Fall kindergarten" 0.1604 "none" 24 46.5667 58.7189 . 18 105 448 0 0
10007567 10007567 "Female" "White" 71.93 "Fall kindergarten" 0.3299 "center" . 40.3556 51.6975 . 14 106 470 0 0
10007614 10007614 "Female" "Hispanic" 70.22 "Fall kindergarten" -0.983 "relative" 17 32.8573 44.8671 . 13 75 403 0 0
10007701 10007701 "Female" "Black" 66.61 "Fall kindergarten" -0.428 "none" 11 39.1449 56.9762 . 15 100 448 0 0
10007907 10007907 "Female" "White" . "Fall kindergarten" 0.3874 "none" . . . . . . . 0 0
10007964 10007964 "Female" "Hispanic" 65 "Fall kindergarten" -1.18 "non-relative" 15 17.7756 41.467 . 15 80 403 0 0
10007986 10007986 "Female" "Hispanic" 62.66 "Fall kindergarten" -0.257 "center" 38 37.9968 52.8365 . 17 106 448 0 0
10008018 10008018 "Female" "White" 64.77 "Fall kindergarten" 1.956 "center" . 35.6885 56.613 . 15 111 462 0 0
10008021 10008021 "Female" "White" 68.91 "Fall kindergarten" . . 23 33.3948 44.1478 . 15 98 448 0 0
10008088 10008088 "Female" "Black" 65.65 "Fall kindergarten" . . 31 33.6946 52.1654 . 7 79 403 0 0
10008094 10008094 "Male" "other" 63.98 "Fall kindergarten" -0.748 "center" 15 28.0185 47.0137 . 16 112 462 0 0
10008170 10008170 "Female" "Hispanic" 70.29 "Fall kindergarten" . . 6 22.1402 41.9559 . 13 75 403 0 0
10008207 10008207 "Male" "White" 66.77 "Fall kindergarten" 0.2602 "non-relative" . 33.2799 51.7032 . 17 100 448 0 0
10008354 10008354 "Male" "White" 68.28 "Fall kindergarten" -0.268 "center" 27 35.4133 62.6418 . 17 99 448 0 0
10008357 10008357 "Male" "Hispanic" 72.46 "Fall kindergarten" -1.31 "none" 23 24.8153 41.7173 . 15 72 403 0 0
10008385 10008385 "Male" "Asian" . "Fall kindergarten" 0.858 . 8 . . . . . . 0 0
10008409 10008409 "Female" "White" 71.11 "Fall kindergarten" -0.344 "center" 23 53.1833 57.0283 . 18 116 483 0 0
10008520 10008520 "Male" "White" 64.11 "Fall kindergarten" 0.0076 "center" 5 30.6678 55.4363 . 15 89 419 0 0
10008551 10008551 "Male" "other" 62.37 "Fall kindergarten" -0.089 "none" 45 34.5549 44.1543 . 15 101 435 0 0
10008559 10008559 "Female" "Hispanic" . "Fall kindergarten" -0.64 "relative" 24 . . . . . . 0 0
10008628 10008628 "Female" "White" 72.85 "Fall kindergarten" 1.413 "center" 21 47.5352 67.4069 . 15 93 448 0 0
10008636 10008636 "Female" "Hispanic" 63.39 "Fall kindergarten" -0.934 "center" 10 32.4654 54.2362 . 13 113 462 0 0
10008682 10008682 "Male" "White" 67.63 "Fall kindergarten" -0.192 "center" . 36.412 50.5961 . 15 92 435 0 0
10008689 10008689 "Female" "White" 75.25 "Fall kindergarten" -1.4 "center" 24 32.955 61.8598 . 15 68 403 0 0
10008755 10008755 "Female" "Black" 62.33 "Fall kindergarten" -1.12 "center" 30 17.6746 42.5779 . 15 . 403 0 0
10008767 10008767 "Female" "Hispanic" 64.21 "Fall kindergarten" 0.2867 "center" . 28.9317 42.2664 . 15 84 410 0 0
10008789 10008789 "Female" "White" 64.14 "Fall kindergarten" 0.1905 "center" 36 26.1235 44.4142 . 15 80 403 0 0
10008791 10008791 "Female" "White" 69.11 "Fall kindergarten" 0.6497 "center" 8 42.9869 62.9322 . 15 98 448 0 0
10008910 10008910 "Male" "Hispanic" 73.51 "Fall kindergarten" . . 38 21.2402 37.5347 . 14 65 393 0 0
10008925 10008925 "Male" "Asian" 67.66 "Fall kindergarten" -0.655 "center" 14 51.5206 50.3179 . 15 119 483 0 0
10009000 10009000 "Female" "White" 69.67 "Fall kindergarten" . . . 25.9148 44.5384 . 14 104 462 0 0
10009092 10009092 "Female" "White" 64.9 "Fall kindergarten" -0.408 "none" 30 26.0067 54.2864 . 13 80 403 0 0
10009106 10009106 "Female" "White" 70.65 "Fall kindergarten" 0.121 "center" 22 39.8273 58.7328 . 15 95 448 0 0
10009125 10009125 "Male" "Black" 68.25 "Fall kindergarten" 0.0152 "center" 26 36.3096 46.9116 . 16 77 403 0 0
10009198 10009198 "Male" "Hispanic" 65.36 "Fall kindergarten" -0.561 "center" 24 17.5026 38.1576 . 14 80 403 0 0
10009218 10009218 "Male" "White" . "Fall kindergarten" -0.912 "center" 35 . . . . . . 0 0
10009313 10009313 "Female" "Hispanic" . "Fall kindergarten" -1.4 . 4 . . . . . . 0 0
10009349 10009349 "Female" "Black" 70.19 "Fall kindergarten" . . 31 25.5946 54.1914 . 15 86 426 0 0
10009576 10009576 "Male" "Asian" 74.73 "Fall kindergarten" . . 36 22.5721 42.1576 . 14 68 403 0 0
10009597 10009597 "Male" "White" 67.43 "Fall kindergarten" -1.3 "center" 30 33.2642 51.0986 . 15 78 403 0 0
10009824 10009824 "Female" "Black" . "Fall kindergarten" -0.226 . 34 . . . . . . 0 0
10010003 10010003 "Male" "White" 68.05 "Fall kindergarten" -0.278 "relative" 9 60.4633 66.642 . 16 127 496 0 0
10010029 10010029 "Male" "Black" 70.16 "Fall kindergarten" -0.957 "center" 22 19.3302 41.9164 . 12 75 403 0 0
10010046 10010046 "Female" "Black" 67.66 "Fall kindergarten" 0.975 "center" . 27.9661 48.4044 . 15 77 403 0 0
10010165 10010165 "Male" "Hispanic" 62.99 "Fall kindergarten" 1.207 "center" 9 29.0103 54.278 . 14 85 410 0 0
10010171 10010171 "Female" "White" 72.59 "Fall kindergarten" -0.169 "center" 29 35.4797 54.2937 . 16 75 410 0 0
10010295 10010295 "Female" "White" 72.92 "Fall kindergarten" 0.4912 "center" 10 51.977 70.1625 . 17 93 448 0 0
10010296 10010296 "Female" "White" 66.84 "Fall kindergarten" -0.584 "center" 39 32.1059 53.4279 . 17 100 448 0 0
10010309 10010309 "Male" "Black" 69.07 "Fall kindergarten" -0.705 "relative" 23 26.0817 51.9341 . 15 91 435 0 0
10010342 10010342 "Male" "White" 61.28 "Fall kindergarten" 0.974 "none" 10 26.0091 43.1222 . 17 . 410 0 0
10010358 10010358 "Female" "Hispanic" 71.97 "Fall kindergarten" -1.03 "center" 24 26.2161 56.0799 . 15 72 403 0 0
10010425 10010425 "Female" "Black" 80.22 "Fall kindergarten" -1.81 "none" 41 21.0277 59.0471 . 16 61 403 0 0
10010426 10010426 "Male" "Black" 68.28 "Fall kindergarten" 0.5035 "center" . 36.3096 49.0139 . 17 77 403 0 0
10010490 10010490 "Male" "White" 62.79 "Fall kindergarten" 0.1338 "center" 7 23.9674 43.5042 . 8 81 403 0 0
10010511 10010511 "Female" "other" 71.21 "Fall kindergarten" -0.379 "relative" 13 37.6176 56.2264 . 16 81 419 0 0
10010522 10010522 "Male" "Asian" 64.08 "Fall kindergarten" . . 29 33.4991 44.9398 . 13 80 403 0 0
10010538 10010538 "Female" "White" 67.82 "Fall kindergarten" 1.248 "none" 17 43.8518 60.3173 . 18 99 448 0 0
10010622 10010622 "Male" "White" 76.27 "Fall kindergarten" -0.369 "center" 4 42.1394 54.7949 . 14 102 470 0 0
10010717 10010717 "Female" "White" 69.76 "Fall kindergarten" 0.1524 "center" 28 36.5396 59.5089 . 15 117 483 0 0
10010887 10010887 "Female" "White" 68.55 "Fall kindergarten" -0.01 "center" 8 27.4077 49.6303 . 15 76 403 0 0
10010907 10010907 "Female" "White" 64.8 "Fall kindergarten" 0.6418 "none" 25 38.0797 69.6604 . 15 103 448 0 0
10010950 10010950 "Male" "Hispanic" 58.62 "Fall kindergarten" -0.951 "center" . 28.0948 44.0609 . 8 105 435 0 0
10010984 10010984 "Female" "White" 71.8 "Fall kindergarten" -0.513 "non-relative" 7 44.7291 51.6909 . 15 80 419 0 0
10011045 10011045 "Female" "Black" 62.17 "Fall kindergarten" -0.164 "center" 38 28.1501 51.9607 . 6 . 410 0 0
10011073 10011073 "Female" "White" 64.6 "Fall kindergarten" -0.396 . 23 44.5835 61.3495 . 10 119 476 0 0
10011434 10011434 "Male" "White" 63.02 "Fall kindergarten" -0.01 "none" 13 36.2692 61.7559 . 15 99 435 0 0
10011448 10011448 "Female" "White" 63.09 "Fall kindergarten" 0.6218 "relative" 17 46.6166 67.9748 . 15 81 403 0 0
10011490 10011490 "Male" "Hispanic" 70.09 "Fall kindergarten" 0.2458 "center" 11 40.8763 48.1799 . 3 122 489 0 0
10011609 10011609 "Female" "White" 69.34 "Fall kindergarten" 0.8382 "center" . 50.2128 53.852 . 18 105 462 0 0
10011832 10011832 "Female" "Hispanic" 61.38 "Fall kindergarten" -0.328 "center" 21 31.936 46.0875 . 15 . 403 0 0
10011871 10011871 "Female" "Hispanic" 64.41 "Fall kindergarten" -0.164 "center" . 36.625 52.8912 . 15 80 403 0 0
10011937 10011937 "Male" "White" 77.03 "Fall kindergarten" -0.062 . 30 48.1281 63.8425 . 15 69 410 0 0
10012130 10012130 "Male" "White" 67.69 "Fall kindergarten" -0.165 "center" 10 47.5443 67.0157 . 17 115 476 0 0
10012208 10012208 "Male" "White" . "Fall kindergarten" 0.3874 . 45 . . . . . . 0 0
10012214 10012214 "Female" "White" 62.17 "Fall kindergarten" -1.3 "center" 39 16.8554 37.9065 . 10 . 403 0 0
10012240 10012240 "Male" "Hispanic" 66.25 "Fall kindergarten" -0.578 "relative" 17 25.6722 51.7589 . 16 91 426 0 0
10012268 10012268 "Female" "Hispanic" 71.11 "Fall kindergarten" . . 38 33.717 43.7921 . 15 69 393 0 0
10012369 10012369 "Male" "Hispanic" 63.32 "Fall kindergarten" -1.35 "none" 24 19.9282 34.8674 . 6 94 425 0 0
10012397 10012397 "Male" "Hispanic" 72.36 "Fall kindergarten" -0.828 "center" . 25.0534 46.7447 . 15 72 403 0 0
10012495 10012495 "Male" "Black" 64.73 "Fall kindergarten" . . 24 20.6123 41.7332 . 15 103 448 0 0
10012566 10012566 "Male" "other" . "Fall kindergarten" -1.17 "center" 26 . . . . . . 0 0
10012599 10012599 "Male" "White" 61.18 "Fall kindergarten" -0.716 "center" 30 24.4868 40.4203 . 15 . 403 0 0
10012625 10012625 "Male" "White" 62.4 "Fall kindergarten" 0.0515 "center" 11 34.4793 53.311 . 15 . 403 0 0
10012669 10012669 "Male" "White" 69.6 "Fall kindergarten" 0.7688 "non-relative" 6 34.9597 62.3249 . 15 109 470 0 0
10012690 10012690 "Male" "White" 64.83 "Fall kindergarten" 0.0794 . . 21.527 39.2619 . 15 92 426 0 0
10012695 10012695 "Female" "Black" 68.55 "Fall kindergarten" 1.068 "center" . 50.5428 91.0545 . 16 114 476 0 0
10012776 10012776 "Male" "White" 73.97 "Fall kindergarten" -1.06 "center" 26 . 49.5658 . . . . 0 0
10012859 10012859 "Female" "White" 69.27 "Fall kindergarten" 0.947 "center" . 45.921 56.7112 . 15 98 448 0 0
10012867 10012867 "Female" "Asian" 58.82 "Fall kindergarten" . . 27 29.6384 42.9063 . 7 . 403 0 0
10012891 10012891 "Male" "White" . "Fall kindergarten" 0.9357 "none" 16 . . . . . . 0 0
10013005 10013005 "Male" "Black" 64.67 "Fall kindergarten" 0.5069 "relative" 15 39.1882 64.5302 . 14 111 462 0 0
10013105 10013105 "Female" "Black" 69.73 "Fall kindergarten" -0.409 "center" 21 27.0179 62.4461 . 16 78 410 0 0
10013160 10013160 "Male" "White" 66.02 "Fall kindergarten" 0.0541 "center" 19 39.999 54.3084 . 17 118 476 0 0
10013185 10013185 "Male" "Asian" 67.86 "Fall kindergarten" -0.543 "center" 35 48.4708 58.0003 . 14 119 483 0 0
10013192 10013192 "Male" "Hispanic" 61.35 "Fall kindergarten" -0.017 . . 21.5976 38.7893 . 6 . 403 0 0
10013294 10013294 "Female" "White" 72.36 "Fall kindergarten" -0.678 "none" 15 52.215 55.9717 . 16 106 470 0 0
10013386 10013386 "Male" "Black" 59.41 "Fall kindergarten" 0.4623 "center" . 34.1076 61.2161 . 6 117 462 0 0
10013399 10013399 "Female" "White" 65.29 "Fall kindergarten" 0.5551 "center" 7 52.4395 65.6783 . 16 119 476 0 0
10013503 10013503 "Female" "White" 64.64 "Fall kindergarten" 0.0172 "relative" 17 41.6896 56.799 . 15 122 483 0 0
10013536 10013536 "Female" "other" . "Fall kindergarten" -1.03 "none" . . . . . . . 0 0
10013690 10013690 "Female" "Asian" 67.63 "Fall kindergarten" 1.393 "center" . 48.5783 82.8714 . 15 106 462 0 0
10013693 10013693 "Female" "White" 72.43 "Fall kindergarten" -0.23 "non-relative" 6 46.1586 74.6091 . 14 115 483 0 0
10013913 10013913 "Female" "White" 64.11 "Fall kindergarten" -0.07 "relative" 6 35.237 51.9275 . 15 105 448 0 0
